"subj","exp","cond","item","order","reg","word","rt","zrt","res","zres","acc","at","len","rtmean","rtsd","upperbound","lowerbound"
1,"PL","c",15,98,7,"撮影した。",974,-0.209,487.36,-0.084,100,"low","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","a",17,80,7,"許可した。",574,-0.347,87.36,0.011,100,"high","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","c",11,62,7,"盗んだ。",446,-0.575,-3.76,-0.447,100,"low","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","b",14,96,7,"伝えた。",686,-0.082,236.24,0.291,100,"high","long",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","c",3,21,7,"違反した。",926,-0.242,439.36,-0.12,100,"low","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","d",12,17,7,"遂行した。",822,-0.184,335.36,-0.017,100,"low","long",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","c",19,7,7,"無くした。",918,-0.247,431.36,-0.126,100,"low","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","d",16,82,7,"味見した。",302,-0.663,-184.64,-0.529,100,"low","long",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","b",18,66,7,"語った。",294,-0.795,-155.76,-0.494,100,"high","long",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","a",9,49,7,"保証した。",1646,2.081,1159.36,2.653,100,"high","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","a",1,57,7,"見せた。",766,0.088,316.24,0.575,100,"high","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","c",23,51,7,"からかった。",2278.56402462938,0.746,1826.49,0.903,100,"low","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","a",5,39,7,"あげた。",654,-0.165,204.24,0.299,100,"high","short",824.4,484.721341543127,2278.56402462938,-629.76402462938
1,"PL","d",8,41,7,"疑った。",1102,0.074,652.24,0.296,100,"low","long",824.4,484.721341543127,2278.56402462938,-629.76402462938
